branch,threads,ingest_throughput_docs_sec,ingest_tokens_sec,ingest_duration_sec,ingest_latency_p50_ms,ingest_latency_p95_ms,ingest_latency_p99_ms,mutation_throughput_docs_sec,mutation_latency_p50_ms,search_used_memory_bytes,search_used_memory_mb,total_used_memory_mb,used_memory_rss_mb,search_qps,search_latency_p50_ms,search_latency_p95_ms,search_latency_p99_ms
optimized_rax,1,614.4,307207.4,48.827,1.607,1.894,2.209,454.9,2.182,1804040152,1720.47,1832.87,1916.83,237.0,0.953,20.405,30.122
optimized_rax,4,2269.8,1134917.9,13.217,1.715,2.023,2.592,1607.0,2.449,1815089224,1731.0,1843.5,1949.47,964.3,0.907,20.318,29.554
optimized_rax,8,3621.2,1810588.0,8.285,2.091,2.712,4.674,2541.2,3.079,1813758360,1729.73,1842.24,1963.05,1919.5,0.951,20.134,29.381
optimized_rax,16,4969.5,2484745.0,6.037,2.906,4.588,10.464,3340.8,4.568,1813228936,1729.23,1841.8,1963.61,3416.2,1.429,20.96,30.792
main,1,627.9,313936.2,47.78,1.579,1.807,2.143,462.7,2.136,1804111064,1720.53,1832.94,1911.21,239.0,0.928,20.469,29.936
main,4,2280.4,1140208.0,13.155,1.699,2.082,2.641,1578.6,2.488,1815593800,1731.49,1843.99,1959.52,962.3,0.903,20.211,29.602
main,8,3611.6,1805821.1,8.306,2.085,2.753,4.694,2521.8,3.095,1813283608,1729.28,1841.79,1957.82,1919.1,0.958,20.117,29.402
main,16,4929.5,2464729.0,6.086,2.896,4.587,10.213,3341.0,4.557,1812960584,1728.97,1841.54,1966.16,3293.7,1.597,21.473,31.393

# Calculated Percentage Benefits (optimized_rax vs main)
threads,ingest_throughput_benefit_pct,mutation_throughput_benefit_pct,ingest_duration_reduction_pct,ingest_latency_p50_reduction_pct,search_used_memory_savings_pct,total_used_memory_savings_pct,used_memory_rss_savings_pct,search_qps_benefit_pct,search_latency_p50_reduction_pct
1,-2.15%,-1.69%,-2.19%,-1.77%,+0.00%,+0.00%,-0.29%,-0.84%,-2.69%
4,-0.46%,+1.80%,-0.47%,-0.94%,+0.03%,+0.03%,+0.51%,+0.21%,-0.44%
8,+0.27%,+0.77%,+0.25%,-0.29%,-0.03%,-0.02%,-0.27%,+0.02%,+0.73%
16,+0.81%,-0.01%,+0.81%,-0.35%,-0.01%,-0.01%,+0.13%,+3.72%,+10.52%
